"","feature_set","num_features","accuracy","resample","problem","classifier"
"93","Kats",36,0.8,12,"BeetleFly","svm"
"94","tsfresh",729,0.85,12,"BeetleFly","svm"
"95","quantiles",101,0.75,12,"BeetleFly","svm"
"96","FFT (Mag^2 + Angle) + quantiles",301,0.85,12,"BeetleFly","svm"
"97","catch22",22,0.75,13,"BeetleFly","svm"
"98","feasts",37,0.8,13,"BeetleFly","svm"
"99","tsfeatures",58,0.8,13,"BeetleFly","svm"
"100","TSFEL",144,0.75,13,"BeetleFly","svm"
"101","Kats",35,0.8,13,"BeetleFly","svm"
"102","tsfresh",728,0.85,13,"BeetleFly","svm"
"103","quantiles",101,0.85,13,"BeetleFly","svm"
"104","FFT (Mag^2 + Angle) + quantiles",301,0.8,13,"BeetleFly","svm"
"105","catch22",22,0.8,14,"BeetleFly","svm"
"106","feasts",37,0.85,14,"BeetleFly","svm"
"107","tsfeatures",59,0.9,14,"BeetleFly","svm"
"108","TSFEL",144,0.9,14,"BeetleFly","svm"
"109","Kats",36,0.85,14,"BeetleFly","svm"
"110","tsfresh",727,0.75,14,"BeetleFly","svm"
"111","quantiles",101,0.9,14,"BeetleFly","svm"
"112","FFT (Mag^2 + Angle) + quantiles",301,0.95,14,"BeetleFly","svm"
"113","catch22",22,0.8,15,"BeetleFly","svm"
"114","feasts",37,0.8,15,"BeetleFly","svm"
"115","tsfeatures",58,0.85,15,"BeetleFly","svm"
"116","TSFEL",144,0.8,15,"BeetleFly","svm"
"117","Kats",36,0.8,15,"BeetleFly","svm"
"118","tsfresh",729,0.75,15,"BeetleFly","svm"
"119","quantiles",101,0.95,15,"BeetleFly","svm"
"120","FFT (Mag^2 + Angle) + quantiles",301,0.9,15,"BeetleFly","svm"
"121","catch22",22,0.75,16,"BeetleFly","svm"
"122","feasts",37,0.9,16,"BeetleFly","svm"
"123","tsfeatures",59,0.85,16,"BeetleFly","svm"
"124","TSFEL",144,0.9,16,"BeetleFly","svm"
"125","Kats",36,0.8,16,"BeetleFly","svm"
"126","tsfresh",730,0.75,16,"BeetleFly","svm"
"127","quantiles",101,0.8,16,"BeetleFly","svm"
"128","FFT (Mag^2 + Angle) + quantiles",301,0.8,16,"BeetleFly","svm"
"129","catch22",22,0.65,17,"BeetleFly","svm"
"130","feasts",37,0.8,17,"BeetleFly","svm"
"131","tsfeatures",59,0.8,17,"BeetleFly","svm"
"132","TSFEL",144,0.8,17,"BeetleFly","svm"
"133","Kats",36,0.9,17,"BeetleFly","svm"
"134","tsfresh",731,0.9,17,"BeetleFly","svm"
"135","quantiles",101,0.95,17,"BeetleFly","svm"
"136","FFT (Mag^2 + Angle) + quantiles",301,0.9,17,"BeetleFly","svm"
"137","catch22",22,0.75,18,"BeetleFly","svm"
"138","feasts",37,0.75,18,"BeetleFly","svm"
"139","tsfeatures",59,0.8,18,"BeetleFly","svm"
"140","TSFEL",144,0.8,18,"BeetleFly","svm"
"141","Kats",36,0.75,18,"BeetleFly","svm"
"142","tsfresh",729,0.8,18,"BeetleFly","svm"
"143","quantiles",101,0.9,18,"BeetleFly","svm"
"144","FFT (Mag^2 + Angle) + quantiles",301,0.9,18,"BeetleFly","svm"
"145","catch22",22,0.75,19,"BeetleFly","svm"
"146","feasts",37,0.7,19,"BeetleFly","svm"
"147","tsfeatures",58,0.8,19,"BeetleFly","svm"
"148","TSFEL",144,0.8,19,"BeetleFly","svm"
"149","Kats",36,0.75,19,"BeetleFly","svm"
"150","tsfresh",730,0.75,19,"BeetleFly","svm"
"151","quantiles",101,0.8,19,"BeetleFly","svm"
"152","FFT (Mag^2 + Angle) + quantiles",301,0.85,19,"BeetleFly","svm"
"153","catch22",22,0.9,20,"BeetleFly","svm"
"154","feasts",37,0.85,20,"BeetleFly","svm"
"155","tsfeatures",59,0.85,20,"BeetleFly","svm"
"156","TSFEL",144,0.7,20,"BeetleFly","svm"
"157","Kats",36,0.85,20,"BeetleFly","svm"
"158","tsfresh",728,0.8,20,"BeetleFly","svm"
"159","quantiles",101,0.85,20,"BeetleFly","svm"
"160","FFT (Mag^2 + Angle) + quantiles",301,0.95,20,"BeetleFly","svm"
"161","catch22",22,0.75,21,"BeetleFly","svm"
"162","feasts",37,0.85,21,"BeetleFly","svm"
"163","tsfeatures",58,0.85,21,"BeetleFly","svm"
"164","TSFEL",144,0.85,21,"BeetleFly","svm"
"165","Kats",36,0.85,21,"BeetleFly","svm"
"166","tsfresh",729,0.75,21,"BeetleFly","svm"
"167","quantiles",101,0.9,21,"BeetleFly","svm"
"168","FFT (Mag^2 + Angle) + quantiles",301,0.95,21,"BeetleFly","svm"
"169","catch22",22,0.7,22,"BeetleFly","svm"
"170","feasts",37,0.75,22,"BeetleFly","svm"
"171","tsfeatures",59,0.9,22,"BeetleFly","svm"
"172","TSFEL",144,0.9,22,"BeetleFly","svm"
"173","Kats",36,0.8,22,"BeetleFly","svm"
"174","tsfresh",728,0.8,22,"BeetleFly","svm"
"175","quantiles",101,0.9,22,"BeetleFly","svm"
"176","FFT (Mag^2 + Angle) + quantiles",301,0.85,22,"BeetleFly","svm"
"177","catch22",22,0.7,23,"BeetleFly","svm"
"178","feasts",37,0.75,23,"BeetleFly","svm"
"179","tsfeatures",59,0.85,23,"BeetleFly","svm"
"180","TSFEL",144,0.8,23,"BeetleFly","svm"
"181","Kats",36,0.75,23,"BeetleFly","svm"
"182","tsfresh",729,0.8,23,"BeetleFly","svm"
"183","quantiles",101,0.95,23,"BeetleFly","svm"
"184","FFT (Mag^2 + Angle) + quantiles",301,0.75,23,"BeetleFly","svm"
"185","catch22",22,0.75,24,"BeetleFly","svm"
"186","feasts",37,0.7,24,"BeetleFly","svm"
"187","tsfeatures",59,0.7,24,"BeetleFly","svm"
"188","TSFEL",144,0.8,24,"BeetleFly","svm"
"189","Kats",36,0.85,24,"BeetleFly","svm"
"190","tsfresh",729,0.9,24,"BeetleFly","svm"
"191","quantiles",101,0.8,24,"BeetleFly","svm"
"192","FFT (Mag^2 + Angle) + quantiles",301,0.9,24,"BeetleFly","svm"
"193","catch22",22,0.75,25,"BeetleFly","svm"
"194","feasts",37,0.7,25,"BeetleFly","svm"
"195","tsfeatures",59,0.85,25,"BeetleFly","svm"
"196","TSFEL",144,0.85,25,"BeetleFly","svm"
"197","Kats",36,0.85,25,"BeetleFly","svm"
