"","feature_set","num_features","accuracy","resample","problem","classifier"
"103","quantiles",101,0.606,13,"EthanolLevel","svm"
"104","FFT (Mag^2 + Angle) + quantiles",301,0.58,13,"EthanolLevel","svm"
"105","catch22",19,0.428,14,"EthanolLevel","svm"
"106","feasts",33,0.336,14,"EthanolLevel","svm"
"107","tsfeatures",58,0.32,14,"EthanolLevel","svm"
"108","TSFEL",142,0.414,14,"EthanolLevel","svm"
"109","Kats",35,0.378,14,"EthanolLevel","svm"
"110","tsfresh",727,0.572,14,"EthanolLevel","svm"
"111","quantiles",101,0.628,14,"EthanolLevel","svm"
"112","FFT (Mag^2 + Angle) + quantiles",301,0.556,14,"EthanolLevel","svm"
"113","catch22",19,0.394,15,"EthanolLevel","svm"
"114","feasts",33,0.378,15,"EthanolLevel","svm"
"115","tsfeatures",58,0.344,15,"EthanolLevel","svm"
"116","TSFEL",142,0.458,15,"EthanolLevel","svm"
"117","Kats",35,0.386,15,"EthanolLevel","svm"
"118","tsfresh",728,0.552,15,"EthanolLevel","svm"
"119","quantiles",101,0.62,15,"EthanolLevel","svm"
"120","FFT (Mag^2 + Angle) + quantiles",301,0.538,15,"EthanolLevel","svm"
"121","catch22",19,0.386,16,"EthanolLevel","svm"
"122","feasts",33,0.332,16,"EthanolLevel","svm"
"123","tsfeatures",58,0.36,16,"EthanolLevel","svm"
"124","TSFEL",142,0.448,16,"EthanolLevel","svm"
"125","Kats",35,0.398,16,"EthanolLevel","svm"
"126","tsfresh",727,0.596,16,"EthanolLevel","svm"
"127","quantiles",101,0.628,16,"EthanolLevel","svm"
"128","FFT (Mag^2 + Angle) + quantiles",301,0.548,16,"EthanolLevel","svm"
"129","catch22",19,0.402,17,"EthanolLevel","svm"
"130","feasts",33,0.336,17,"EthanolLevel","svm"
"131","tsfeatures",58,0.36,17,"EthanolLevel","svm"
"132","TSFEL",142,0.45,17,"EthanolLevel","svm"
"133","Kats",35,0.376,17,"EthanolLevel","svm"
"134","tsfresh",727,0.564,17,"EthanolLevel","svm"
"135","quantiles",101,0.65,17,"EthanolLevel","svm"
"136","FFT (Mag^2 + Angle) + quantiles",301,0.534,17,"EthanolLevel","svm"
"137","catch22",19,0.372,18,"EthanolLevel","svm"
"138","feasts",33,0.346,18,"EthanolLevel","svm"
"139","tsfeatures",58,0.334,18,"EthanolLevel","svm"
"140","TSFEL",142,0.422,18,"EthanolLevel","svm"
"141","Kats",35,0.376,18,"EthanolLevel","svm"
"142","tsfresh",727,0.55,18,"EthanolLevel","svm"
"143","quantiles",101,0.598,18,"EthanolLevel","svm"
"144","FFT (Mag^2 + Angle) + quantiles",301,0.538,18,"EthanolLevel","svm"
"145","catch22",19,0.414,19,"EthanolLevel","svm"
"146","feasts",33,0.338,19,"EthanolLevel","svm"
"147","tsfeatures",58,0.354,19,"EthanolLevel","svm"
"148","TSFEL",142,0.442,19,"EthanolLevel","svm"
"149","Kats",35,0.39,19,"EthanolLevel","svm"
"150","tsfresh",728,0.582,19,"EthanolLevel","svm"
"151","quantiles",101,0.602,19,"EthanolLevel","svm"
"152","FFT (Mag^2 + Angle) + quantiles",301,0.546,19,"EthanolLevel","svm"
"153","catch22",19,0.412,20,"EthanolLevel","svm"
"154","feasts",33,0.372,20,"EthanolLevel","svm"
"155","tsfeatures",58,0.344,20,"EthanolLevel","svm"
"156","TSFEL",142,0.45,20,"EthanolLevel","svm"
"157","Kats",35,0.366,20,"EthanolLevel","svm"
"158","tsfresh",727,0.588,20,"EthanolLevel","svm"
"159","quantiles",101,0.636,20,"EthanolLevel","svm"
"160","FFT (Mag^2 + Angle) + quantiles",301,0.516,20,"EthanolLevel","svm"
"161","catch22",19,0.386,21,"EthanolLevel","svm"
"162","feasts",33,0.358,21,"EthanolLevel","svm"
"163","tsfeatures",58,0.346,21,"EthanolLevel","svm"
"164","TSFEL",142,0.446,21,"EthanolLevel","svm"
"165","Kats",35,0.384,21,"EthanolLevel","svm"
"166","tsfresh",727,0.592,21,"EthanolLevel","svm"
"167","quantiles",101,0.608,21,"EthanolLevel","svm"
"168","FFT (Mag^2 + Angle) + quantiles",301,0.54,21,"EthanolLevel","svm"
"169","catch22",19,0.422,22,"EthanolLevel","svm"
"170","feasts",33,0.346,22,"EthanolLevel","svm"
"171","tsfeatures",58,0.364,22,"EthanolLevel","svm"
"172","TSFEL",142,0.472,22,"EthanolLevel","svm"
"173","Kats",35,0.398,22,"EthanolLevel","svm"
"174","tsfresh",727,0.6,22,"EthanolLevel","svm"
"175","quantiles",101,0.636,22,"EthanolLevel","svm"
"176","FFT (Mag^2 + Angle) + quantiles",301,0.594,22,"EthanolLevel","svm"
"177","catch22",19,0.41,23,"EthanolLevel","svm"
"178","feasts",33,0.336,23,"EthanolLevel","svm"
"179","tsfeatures",58,0.384,23,"EthanolLevel","svm"
"180","TSFEL",142,0.464,23,"EthanolLevel","svm"
"181","Kats",35,0.382,23,"EthanolLevel","svm"
"182","tsfresh",728,0.608,23,"EthanolLevel","svm"
"183","quantiles",101,0.604,23,"EthanolLevel","svm"
"184","FFT (Mag^2 + Angle) + quantiles",301,0.576,23,"EthanolLevel","svm"
"185","catch22",19,0.416,24,"EthanolLevel","svm"
"186","feasts",33,0.36,24,"EthanolLevel","svm"
"187","tsfeatures",58,0.37,24,"EthanolLevel","svm"
"188","TSFEL",142,0.456,24,"EthanolLevel","svm"
"189","Kats",35,0.39,24,"EthanolLevel","svm"
"190","tsfresh",728,0.56,24,"EthanolLevel","svm"
"191","quantiles",101,0.626,24,"EthanolLevel","svm"
"192","FFT (Mag^2 + Angle) + quantiles",301,0.528,24,"EthanolLevel","svm"
"193","catch22",19,0.376,25,"EthanolLevel","svm"
"194","feasts",33,0.316,25,"EthanolLevel","svm"
"195","tsfeatures",58,0.338,25,"EthanolLevel","svm"
"196","TSFEL",142,0.478,25,"EthanolLevel","svm"
"197","Kats",35,0.402,25,"EthanolLevel","svm"
"198","tsfresh",728,0.576,25,"EthanolLevel","svm"
"199","quantiles",101,0.612,25,"EthanolLevel","svm"
"200","FFT (Mag^2 + Angle) + quantiles",301,0.508,25,"EthanolLevel","svm"
"201","catch22",19,0.366,26,"EthanolLevel","svm"
"202","feasts",33,0.312,26,"EthanolLevel","svm"
"203","tsfeatures",58,0.348,26,"EthanolLevel","svm"
"204","TSFEL",142,0.412,26,"EthanolLevel","svm"
"205","Kats",35,0.37,26,"EthanolLevel","svm"
"206","tsfresh",728,0.574,26,"EthanolLevel","svm"
"207","quantiles",101,0.652,26,"EthanolLevel","svm"
"208","FFT (Mag^2 + Angle) + quantiles",301,0.558,26,"EthanolLevel","svm"
"209","catch22",19,0.384,27,"EthanolLevel","svm"
"210","feasts",33,0.346,27,"EthanolLevel","svm"
"211","tsfeatures",58,0.298,27,"EthanolLevel","svm"
"212","TSFEL",142,0.422,27,"EthanolLevel","svm"
"213","Kats",35,0.372,27,"EthanolLevel","svm"
"214","tsfresh",728,0.62,27,"EthanolLevel","svm"
