"","feature_set","num_features","accuracy","resample","problem","classifier"
"89","catch22",22,0.3,12,"Beef","xgboost"
"90","feasts",34,0.433333333333333,12,"Beef","xgboost"
"91","tsfeatures",59,0.533333333333333,12,"Beef","xgboost"
"92","TSFEL",143,0.5,12,"Beef","xgboost"
"93","Kats",36,0.4,12,"Beef","xgboost"
"94","tsfresh",730,0.6,12,"Beef","xgboost"
"95","quantiles",101,0.566666666666667,12,"Beef","xgboost"
"96","FFT (Mag^2 + Angle) + quantiles",301,0.533333333333333,12,"Beef","xgboost"
"97","catch22",21,0.366666666666667,13,"Beef","xgboost"
"98","feasts",34,0.433333333333333,13,"Beef","xgboost"
"99","tsfeatures",59,0.533333333333333,13,"Beef","xgboost"
"100","TSFEL",143,0.533333333333333,13,"Beef","xgboost"
"101","Kats",36,0.5,13,"Beef","xgboost"
"102","tsfresh",730,0.766666666666667,13,"Beef","xgboost"
"103","quantiles",101,0.433333333333333,13,"Beef","xgboost"
"104","FFT (Mag^2 + Angle) + quantiles",301,0.733333333333333,13,"Beef","xgboost"
"105","catch22",22,0.366666666666667,14,"Beef","xgboost"
"106","feasts",34,0.433333333333333,14,"Beef","xgboost"
"107","tsfeatures",59,0.366666666666667,14,"Beef","xgboost"
"108","TSFEL",143,0.433333333333333,14,"Beef","xgboost"
"109","Kats",36,0.333333333333333,14,"Beef","xgboost"
"110","tsfresh",729,0.566666666666667,14,"Beef","xgboost"
"111","quantiles",101,0.5,14,"Beef","xgboost"
"112","FFT (Mag^2 + Angle) + quantiles",301,0.5,14,"Beef","xgboost"
"113","catch22",22,0.333333333333333,15,"Beef","xgboost"
"114","feasts",34,0.4,15,"Beef","xgboost"
"115","tsfeatures",59,0.466666666666667,15,"Beef","xgboost"
"116","TSFEL",143,0.4,15,"Beef","xgboost"
"117","Kats",36,0.366666666666667,15,"Beef","xgboost"
"118","tsfresh",729,0.633333333333333,15,"Beef","xgboost"
"119","quantiles",101,0.466666666666667,15,"Beef","xgboost"
"120","FFT (Mag^2 + Angle) + quantiles",301,0.5,15,"Beef","xgboost"
"121","catch22",21,0.466666666666667,16,"Beef","xgboost"
"122","feasts",34,0.4,16,"Beef","xgboost"
