"","feature_set","resample","problem","C"
"27","FFT coef. (Mag^2 + Angle)",3,"AconityMINIPrinterLarge",0.00599484250318941
"28","catch22",4,"AconityMINIPrinterLarge",2.78255940220713
"29","feasts",4,"AconityMINIPrinterLarge",0.359381366380463
"30","tsfeatures",4,"AconityMINIPrinterLarge",166.810053720006
"31","TSFEL",4,"AconityMINIPrinterLarge",2.78255940220713
"32","Kats",4,"AconityMINIPrinterLarge",166.810053720006
"33","tsfresh",4,"AconityMINIPrinterLarge",0.00599484250318941
"34","FFT (Mag^2 + Angle) + quantiles",4,"AconityMINIPrinterLarge",0.00599484250318941
"35","Quantiles",4,"AconityMINIPrinterLarge",0.0464158883361278
"36","FFT coef. (Mag^2 + Angle)",4,"AconityMINIPrinterLarge",0.00599484250318941
"37","catch22",5,"AconityMINIPrinterLarge",21.5443469003188
"38","feasts",5,"AconityMINIPrinterLarge",0.359381366380463
"39","tsfeatures",5,"AconityMINIPrinterLarge",0.359381366380463
"40","TSFEL",5,"AconityMINIPrinterLarge",0.359381366380463
"41","Kats",5,"AconityMINIPrinterLarge",21.5443469003188
"42","tsfresh",5,"AconityMINIPrinterLarge",0.00599484250318941
"43","FFT (Mag^2 + Angle) + quantiles",5,"AconityMINIPrinterLarge",0.00599484250318941
"44","Quantiles",5,"AconityMINIPrinterLarge",0.0464158883361278
"45","FFT coef. (Mag^2 + Angle)",5,"AconityMINIPrinterLarge",0.00599484250318941
"46","catch22",6,"AconityMINIPrinterLarge",0.359381366380463
"47","feasts",6,"AconityMINIPrinterLarge",2.78255940220713
"48","tsfeatures",6,"AconityMINIPrinterLarge",0.359381366380463
"49","TSFEL",6,"AconityMINIPrinterLarge",0.359381366380463
"50","Kats",6,"AconityMINIPrinterLarge",166.810053720006
"51","tsfresh",6,"AconityMINIPrinterLarge",0.00599484250318941
"52","FFT (Mag^2 + Angle) + quantiles",6,"AconityMINIPrinterLarge",0.00599484250318941
"53","Quantiles",6,"AconityMINIPrinterLarge",0.0464158883361278
"54","FFT coef. (Mag^2 + Angle)",6,"AconityMINIPrinterLarge",0.00599484250318941
"55","catch22",7,"AconityMINIPrinterLarge",2.78255940220713
"56","feasts",7,"AconityMINIPrinterLarge",166.810053720006
"57","tsfeatures",7,"AconityMINIPrinterLarge",2.78255940220713
"58","TSFEL",7,"AconityMINIPrinterLarge",0.0464158883361278
"59","Kats",7,"AconityMINIPrinterLarge",166.810053720006
"60","tsfresh",7,"AconityMINIPrinterLarge",0.00599484250318941
"61","FFT (Mag^2 + Angle) + quantiles",7,"AconityMINIPrinterLarge",0.00599484250318941
"62","Quantiles",7,"AconityMINIPrinterLarge",0.359381366380463
"63","FFT coef. (Mag^2 + Angle)",7,"AconityMINIPrinterLarge",0.00599484250318941
"64","catch22",8,"AconityMINIPrinterLarge",166.810053720006
"65","feasts",8,"AconityMINIPrinterLarge",0.359381366380463
