"feature_set","num_features","accuracy","resample","problem","classifier","penalty"
"tsfresh",740,1,12,"Trace","pyridge","cv"
"FFT (Mag^2 + Angle) + quantiles",301,0.9,12,"Trace","pyridge","cv"
"Quantiles",101,0.98,12,"Trace","pyridge","cv"
"FFT coef. (Mag^2 + Angle)",200,0.72,12,"Trace","pyridge","cv"
"catch22",21,1,13,"Trace","pyridge","cv"
"feasts",37,1,13,"Trace","pyridge","cv"
"tsfeatures",59,1,13,"Trace","pyridge","cv"
"TSFEL",142,1,13,"Trace","pyridge","cv"
"Kats",35,1,13,"Trace","pyridge","cv"
"tsfresh",740,1,13,"Trace","pyridge","cv"
"FFT (Mag^2 + Angle) + quantiles",301,0.93,13,"Trace","pyridge","cv"
"Quantiles",101,0.98,13,"Trace","pyridge","cv"
"FFT coef. (Mag^2 + Angle)",200,0.72,13,"Trace","pyridge","cv"
"catch22",21,0.99,14,"Trace","pyridge","cv"
"feasts",37,1,14,"Trace","pyridge","cv"
"tsfeatures",59,0.98,14,"Trace","pyridge","cv"
"TSFEL",141,0.99,14,"Trace","pyridge","cv"
"Kats",35,1,14,"Trace","pyridge","cv"
"tsfresh",733,0.99,14,"Trace","pyridge","cv"
"FFT (Mag^2 + Angle) + quantiles",301,0.77,14,"Trace","pyridge","cv"
"Quantiles",101,0.95,14,"Trace","pyridge","cv"
"FFT coef. (Mag^2 + Angle)",200,0.69,14,"Trace","pyridge","cv"
"catch22",21,0.98,15,"Trace","pyridge","cv"
"feasts",37,0.98,15,"Trace","pyridge","cv"
"tsfeatures",59,1,15,"Trace","pyridge","cv"
"TSFEL",141,1,15,"Trace","pyridge","cv"
"Kats",35,1,15,"Trace","pyridge","cv"
"tsfresh",734,1,15,"Trace","pyridge","cv"
"FFT (Mag^2 + Angle) + quantiles",301,0.95,15,"Trace","pyridge","cv"
"Quantiles",101,0.96,15,"Trace","pyridge","cv"
"FFT coef. (Mag^2 + Angle)",200,0.73,15,"Trace","pyridge","cv"
"catch22",21,1,16,"Trace","pyridge","cv"
"feasts",37,1,16,"Trace","pyridge","cv"
"tsfeatures",59,1,16,"Trace","pyridge","cv"
"TSFEL",142,1,16,"Trace","pyridge","cv"
"Kats",35,1,16,"Trace","pyridge","cv"
"tsfresh",740,0.98,16,"Trace","pyridge","cv"
"FFT (Mag^2 + Angle) + quantiles",301,0.93,16,"Trace","pyridge","cv"
"Quantiles",101,0.99,16,"Trace","pyridge","cv"
"FFT coef. (Mag^2 + Angle)",200,0.76,16,"Trace","pyridge","cv"
"catch22",21,1,17,"Trace","pyridge","cv"
"feasts",37,1,17,"Trace","pyridge","cv"
"tsfeatures",59,0.99,17,"Trace","pyridge","cv"
"TSFEL",141,1,17,"Trace","pyridge","cv"
"Kats",35,1,17,"Trace","pyridge","cv"
"tsfresh",734,1,17,"Trace","pyridge","cv"
"FFT (Mag^2 + Angle) + quantiles",301,0.88,17,"Trace","pyridge","cv"
"Quantiles",101,0.97,17,"Trace","pyridge","cv"
"FFT coef. (Mag^2 + Angle)",200,0.73,17,"Trace","pyridge","cv"
"catch22",21,0.99,18,"Trace","pyridge","cv"
"feasts",37,1,18,"Trace","pyridge","cv"
"tsfeatures",59,1,18,"Trace","pyridge","cv"
"TSFEL",142,1,18,"Trace","pyridge","cv"
"Kats",35,0.99,18,"Trace","pyridge","cv"
"tsfresh",739,1,18,"Trace","pyridge","cv"
"FFT (Mag^2 + Angle) + quantiles",301,0.86,18,"Trace","pyridge","cv"
"Quantiles",101,0.98,18,"Trace","pyridge","cv"
"FFT coef. (Mag^2 + Angle)",200,0.72,18,"Trace","pyridge","cv"
"catch22",21,1,19,"Trace","pyridge","cv"
"feasts",37,0.98,19,"Trace","pyridge","cv"
"tsfeatures",59,0.98,19,"Trace","pyridge","cv"
"TSFEL",142,0.99,19,"Trace","pyridge","cv"
"Kats",35,1,19,"Trace","pyridge","cv"
"tsfresh",740,1,19,"Trace","pyridge","cv"
"FFT (Mag^2 + Angle) + quantiles",301,0.91,19,"Trace","pyridge","cv"
"Quantiles",101,0.99,19,"Trace","pyridge","cv"
"FFT coef. (Mag^2 + Angle)",200,0.72,19,"Trace","pyridge","cv"
"catch22",21,1,20,"Trace","pyridge","cv"
"feasts",37,1,20,"Trace","pyridge","cv"
"tsfeatures",59,1,20,"Trace","pyridge","cv"
"TSFEL",141,0.99,20,"Trace","pyridge","cv"
"Kats",35,1,20,"Trace","pyridge","cv"
"tsfresh",734,1,20,"Trace","pyridge","cv"
"FFT (Mag^2 + Angle) + quantiles",301,0.92,20,"Trace","pyridge","cv"
"Quantiles",101,0.98,20,"Trace","pyridge","cv"
"FFT coef. (Mag^2 + Angle)",200,0.72,20,"Trace","pyridge","cv"
"catch22",21,1,21,"Trace","pyridge","cv"
"feasts",37,0.98,21,"Trace","pyridge","cv"
"tsfeatures",59,1,21,"Trace","pyridge","cv"
"TSFEL",142,0.99,21,"Trace","pyridge","cv"
"Kats",35,1,21,"Trace","pyridge","cv"
"tsfresh",740,1,21,"Trace","pyridge","cv"
"FFT (Mag^2 + Angle) + quantiles",301,0.96,21,"Trace","pyridge","cv"
"Quantiles",101,0.99,21,"Trace","pyridge","cv"
"FFT coef. (Mag^2 + Angle)",200,0.72,21,"Trace","pyridge","cv"
"catch22",21,1,22,"Trace","pyridge","cv"
"feasts",37,1,22,"Trace","pyridge","cv"
"tsfeatures",59,1,22,"Trace","pyridge","cv"
"TSFEL",142,1,22,"Trace","pyridge","cv"
"Kats",35,1,22,"Trace","pyridge","cv"
"tsfresh",740,1,22,"Trace","pyridge","cv"
"FFT (Mag^2 + Angle) + quantiles",301,0.94,22,"Trace","pyridge","cv"
"Quantiles",101,0.98,22,"Trace","pyridge","cv"
"FFT coef. (Mag^2 + Angle)",200,0.72,22,"Trace","pyridge","cv"
"catch22",21,1,23,"Trace","pyridge","cv"
"feasts",37,0.98,23,"Trace","pyridge","cv"
"tsfeatures",59,1,23,"Trace","pyridge","cv"
"TSFEL",141,0.99,23,"Trace","pyridge","cv"
"Kats",35,1,23,"Trace","pyridge","cv"
"tsfresh",734,1,23,"Trace","pyridge","cv"
"FFT (Mag^2 + Angle) + quantiles",301,0.91,23,"Trace","pyridge","cv"
"Quantiles",101,0.98,23,"Trace","pyridge","cv"
"FFT coef. (Mag^2 + Angle)",200,0.72,23,"Trace","pyridge","cv"
"catch22",21,1,24,"Trace","pyridge","cv"
"feasts",37,0.98,24,"Trace","pyridge","cv"
"tsfeatures",59,1,24,"Trace","pyridge","cv"
"TSFEL",142,1,24,"Trace","pyridge","cv"
"Kats",35,1,24,"Trace","pyridge","cv"
