"feature_set","num_features","accuracy","resample","problem","classifier","penalty"
"Kats",36,0.7,10,"Rock","pyridge","fixed"
"tsfresh",732,0.78,10,"Rock","pyridge","fixed"
"FFT (Mag^2 + Angle) + quantiles",301,0.78,10,"Rock","pyridge","fixed"
"Quantiles",101,0.62,10,"Rock","pyridge","fixed"
"FFT coef. (Mag^2 + Angle)",200,0.74,10,"Rock","pyridge","fixed"
"catch22",21,0.68,11,"Rock","pyridge","fixed"
"feasts",34,0.8,11,"Rock","pyridge","fixed"
"tsfeatures",58,0.76,11,"Rock","pyridge","fixed"
"TSFEL",143,0.68,11,"Rock","pyridge","fixed"
"Kats",36,0.72,11,"Rock","pyridge","fixed"
"tsfresh",738,0.8,11,"Rock","pyridge","fixed"
"FFT (Mag^2 + Angle) + quantiles",301,0.8,11,"Rock","pyridge","fixed"
"Quantiles",101,0.56,11,"Rock","pyridge","fixed"
"FFT coef. (Mag^2 + Angle)",200,0.8,11,"Rock","pyridge","fixed"
"catch22",21,0.82,12,"Rock","pyridge","fixed"
"feasts",34,0.82,12,"Rock","pyridge","fixed"
"tsfeatures",58,0.84,12,"Rock","pyridge","fixed"
"TSFEL",143,0.8,12,"Rock","pyridge","fixed"
"Kats",36,0.76,12,"Rock","pyridge","fixed"
"tsfresh",734,0.8,12,"Rock","pyridge","fixed"
"FFT (Mag^2 + Angle) + quantiles",301,0.8,12,"Rock","pyridge","fixed"
"Quantiles",101,0.6,12,"Rock","pyridge","fixed"
"FFT coef. (Mag^2 + Angle)",200,0.82,12,"Rock","pyridge","fixed"
"catch22",21,0.72,13,"Rock","pyridge","fixed"
"feasts",34,0.74,13,"Rock","pyridge","fixed"
"tsfeatures",58,0.78,13,"Rock","pyridge","fixed"
"TSFEL",142,0.74,13,"Rock","pyridge","fixed"
"Kats",36,0.74,13,"Rock","pyridge","fixed"
"tsfresh",738,0.82,13,"Rock","pyridge","fixed"
"FFT (Mag^2 + Angle) + quantiles",301,0.8,13,"Rock","pyridge","fixed"
"Quantiles",101,0.64,13,"Rock","pyridge","fixed"
"FFT coef. (Mag^2 + Angle)",200,0.8,13,"Rock","pyridge","fixed"
"catch22",21,0.58,14,"Rock","pyridge","fixed"
"feasts",34,0.6,14,"Rock","pyridge","fixed"
"tsfeatures",58,0.54,14,"Rock","pyridge","fixed"
"TSFEL",144,0.58,14,"Rock","pyridge","fixed"
"Kats",36,0.52,14,"Rock","pyridge","fixed"
"tsfresh",738,0.66,14,"Rock","pyridge","fixed"
"FFT (Mag^2 + Angle) + quantiles",301,0.68,14,"Rock","pyridge","fixed"
"Quantiles",101,0.44,14,"Rock","pyridge","fixed"
"FFT coef. (Mag^2 + Angle)",200,0.68,14,"Rock","pyridge","fixed"
"catch22",21,0.74,15,"Rock","pyridge","fixed"
"feasts",34,0.8,15,"Rock","pyridge","fixed"
"tsfeatures",58,0.88,15,"Rock","pyridge","fixed"
"TSFEL",142,0.82,15,"Rock","pyridge","fixed"
"Kats",36,0.76,15,"Rock","pyridge","fixed"
