"feature_set","num_features","accuracy","resample","problem","classifier","penalty"
"Quantiles",101,0.68,10,"Computers","pyridge","cv"
"FFT coef. (Mag^2 + Angle)",200,0.604,10,"Computers","pyridge","cv"
"catch22",22,0.708,11,"Computers","pyridge","cv"
"feasts",39,0.752,11,"Computers","pyridge","cv"
"tsfeatures",59,0.756,11,"Computers","pyridge","cv"
"TSFEL",145,0.784,11,"Computers","pyridge","cv"
"Kats",36,0.744,11,"Computers","pyridge","cv"
"tsfresh",747,0.732,11,"Computers","pyridge","cv"
"FFT (Mag^2 + Angle) + quantiles",301,0.656,11,"Computers","pyridge","cv"
"Quantiles",101,0.72,11,"Computers","pyridge","cv"
"FFT coef. (Mag^2 + Angle)",200,0.612,11,"Computers","pyridge","cv"
"catch22",22,0.736,12,"Computers","pyridge","cv"
"feasts",39,0.74,12,"Computers","pyridge","cv"
"tsfeatures",59,0.78,12,"Computers","pyridge","cv"
"TSFEL",145,0.788,12,"Computers","pyridge","cv"
"Kats",36,0.728,12,"Computers","pyridge","cv"
"tsfresh",747,0.764,12,"Computers","pyridge","cv"
"FFT (Mag^2 + Angle) + quantiles",301,0.692,12,"Computers","pyridge","cv"
"Quantiles",101,0.716,12,"Computers","pyridge","cv"
"FFT coef. (Mag^2 + Angle)",200,0.628,12,"Computers","pyridge","cv"
"catch22",22,0.744,13,"Computers","pyridge","cv"
"feasts",39,0.712,13,"Computers","pyridge","cv"
"tsfeatures",59,0.756,13,"Computers","pyridge","cv"
"TSFEL",145,0.736,13,"Computers","pyridge","cv"
"Kats",36,0.776,13,"Computers","pyridge","cv"
"tsfresh",747,0.704,13,"Computers","pyridge","cv"
"FFT (Mag^2 + Angle) + quantiles",301,0.592,13,"Computers","pyridge","cv"
"Quantiles",101,0.724,13,"Computers","pyridge","cv"
"FFT coef. (Mag^2 + Angle)",200,0.604,13,"Computers","pyridge","cv"
"catch22",22,0.74,14,"Computers","pyridge","cv"
"feasts",39,0.756,14,"Computers","pyridge","cv"
"tsfeatures",59,0.796,14,"Computers","pyridge","cv"
"TSFEL",145,0.764,14,"Computers","pyridge","cv"
"Kats",36,0.744,14,"Computers","pyridge","cv"
"tsfresh",747,0.748,14,"Computers","pyridge","cv"
"FFT (Mag^2 + Angle) + quantiles",301,0.652,14,"Computers","pyridge","cv"
"Quantiles",101,0.68,14,"Computers","pyridge","cv"
"FFT coef. (Mag^2 + Angle)",200,0.628,14,"Computers","pyridge","cv"
"catch22",22,0.712,15,"Computers","pyridge","cv"
"feasts",39,0.732,15,"Computers","pyridge","cv"
"tsfeatures",59,0.732,15,"Computers","pyridge","cv"
"TSFEL",145,0.788,15,"Computers","pyridge","cv"
"Kats",36,0.74,15,"Computers","pyridge","cv"
"tsfresh",747,0.748,15,"Computers","pyridge","cv"
"FFT (Mag^2 + Angle) + quantiles",301,0.7,15,"Computers","pyridge","cv"
"Quantiles",101,0.732,15,"Computers","pyridge","cv"
"FFT coef. (Mag^2 + Angle)",200,0.604,15,"Computers","pyridge","cv"
"catch22",22,0.724,16,"Computers","pyridge","cv"
"feasts",39,0.724,16,"Computers","pyridge","cv"
"tsfeatures",59,0.76,16,"Computers","pyridge","cv"
"TSFEL",145,0.776,16,"Computers","pyridge","cv"
"Kats",36,0.752,16,"Computers","pyridge","cv"
"tsfresh",746,0.752,16,"Computers","pyridge","cv"
"FFT (Mag^2 + Angle) + quantiles",301,0.676,16,"Computers","pyridge","cv"
"Quantiles",101,0.68,16,"Computers","pyridge","cv"
"FFT coef. (Mag^2 + Angle)",200,0.628,16,"Computers","pyridge","cv"
"catch22",22,0.708,17,"Computers","pyridge","cv"
"feasts",39,0.736,17,"Computers","pyridge","cv"
"tsfeatures",59,0.748,17,"Computers","pyridge","cv"
"TSFEL",145,0.768,17,"Computers","pyridge","cv"
"Kats",36,0.712,17,"Computers","pyridge","cv"
"tsfresh",747,0.728,17,"Computers","pyridge","cv"
"FFT (Mag^2 + Angle) + quantiles",301,0.652,17,"Computers","pyridge","cv"
"Quantiles",101,0.688,17,"Computers","pyridge","cv"
"FFT coef. (Mag^2 + Angle)",200,0.612,17,"Computers","pyridge","cv"
"catch22",22,0.684,18,"Computers","pyridge","cv"
"feasts",39,0.708,18,"Computers","pyridge","cv"
"tsfeatures",59,0.776,18,"Computers","pyridge","cv"
"TSFEL",145,0.784,18,"Computers","pyridge","cv"
"Kats",36,0.756,18,"Computers","pyridge","cv"
"tsfresh",746,0.712,18,"Computers","pyridge","cv"
"FFT (Mag^2 + Angle) + quantiles",301,0.584,18,"Computers","pyridge","cv"
"Quantiles",101,0.7,18,"Computers","pyridge","cv"
"FFT coef. (Mag^2 + Angle)",200,0.62,18,"Computers","pyridge","cv"
"catch22",22,0.748,19,"Computers","pyridge","cv"
"feasts",39,0.76,19,"Computers","pyridge","cv"
"tsfeatures",59,0.796,19,"Computers","pyridge","cv"
"TSFEL",145,0.812,19,"Computers","pyridge","cv"
"Kats",36,0.748,19,"Computers","pyridge","cv"
"tsfresh",747,0.752,19,"Computers","pyridge","cv"
"FFT (Mag^2 + Angle) + quantiles",301,0.676,19,"Computers","pyridge","cv"
"Quantiles",101,0.692,19,"Computers","pyridge","cv"
"FFT coef. (Mag^2 + Angle)",200,0.644,19,"Computers","pyridge","cv"
"catch22",22,0.704,20,"Computers","pyridge","cv"
"feasts",39,0.736,20,"Computers","pyridge","cv"
"tsfeatures",59,0.704,20,"Computers","pyridge","cv"
"TSFEL",145,0.812,20,"Computers","pyridge","cv"
"Kats",36,0.76,20,"Computers","pyridge","cv"
"tsfresh",747,0.76,20,"Computers","pyridge","cv"
"FFT (Mag^2 + Angle) + quantiles",301,0.648,20,"Computers","pyridge","cv"
"Quantiles",101,0.704,20,"Computers","pyridge","cv"
"FFT coef. (Mag^2 + Angle)",200,0.596,20,"Computers","pyridge","cv"
"catch22",22,0.752,21,"Computers","pyridge","cv"
"feasts",39,0.728,21,"Computers","pyridge","cv"
"tsfeatures",59,0.756,21,"Computers","pyridge","cv"
"TSFEL",145,0.792,21,"Computers","pyridge","cv"
"Kats",36,0.712,21,"Computers","pyridge","cv"
"tsfresh",744,0.764,21,"Computers","pyridge","cv"
"FFT (Mag^2 + Angle) + quantiles",301,0.636,21,"Computers","pyridge","cv"
"Quantiles",101,0.736,21,"Computers","pyridge","cv"
"FFT coef. (Mag^2 + Angle)",200,0.616,21,"Computers","pyridge","cv"
"catch22",22,0.724,22,"Computers","pyridge","cv"
"feasts",39,0.764,22,"Computers","pyridge","cv"
"tsfeatures",59,0.776,22,"Computers","pyridge","cv"
"TSFEL",145,0.776,22,"Computers","pyridge","cv"
"Kats",36,0.78,22,"Computers","pyridge","cv"
"tsfresh",746,0.764,22,"Computers","pyridge","cv"
