"feature_set","num_features","accuracy","resample","problem","classifier","penalty"
"tsfeatures",59,0.61025641025641,9,"CricketZ","pyridge","cv"
"TSFEL",143,0.648717948717949,9,"CricketZ","pyridge","cv"
"Kats",35,0.553846153846154,9,"CricketZ","pyridge","cv"
"tsfresh",734,0.651282051282051,9,"CricketZ","pyridge","cv"
"FFT (Mag^2 + Angle) + quantiles",301,0.566666666666667,9,"CricketZ","pyridge","cv"
"Quantiles",101,0.428205128205128,9,"CricketZ","pyridge","cv"
"FFT coef. (Mag^2 + Angle)",200,0.430769230769231,9,"CricketZ","pyridge","cv"
"catch22",22,0.525641025641026,10,"CricketZ","pyridge","cv"
"feasts",39,0.515384615384615,10,"CricketZ","pyridge","cv"
"tsfeatures",59,0.61025641025641,10,"CricketZ","pyridge","cv"
"TSFEL",143,0.635897435897436,10,"CricketZ","pyridge","cv"
"Kats",35,0.553846153846154,10,"CricketZ","pyridge","cv"
"tsfresh",734,0.658974358974359,10,"CricketZ","pyridge","cv"
"FFT (Mag^2 + Angle) + quantiles",301,0.51025641025641,10,"CricketZ","pyridge","cv"
"Quantiles",101,0.415384615384615,10,"CricketZ","pyridge","cv"
"FFT coef. (Mag^2 + Angle)",200,0.443589743589744,10,"CricketZ","pyridge","cv"
"catch22",22,0.528205128205128,11,"CricketZ","pyridge","cv"
"feasts",39,0.528205128205128,11,"CricketZ","pyridge","cv"
"tsfeatures",59,0.612820512820513,11,"CricketZ","pyridge","cv"
"TSFEL",143,0.653846153846154,11,"CricketZ","pyridge","cv"
"Kats",35,0.543589743589744,11,"CricketZ","pyridge","cv"
"tsfresh",735,0.694871794871795,11,"CricketZ","pyridge","cv"
"FFT (Mag^2 + Angle) + quantiles",301,0.556410256410256,11,"CricketZ","pyridge","cv"
"Quantiles",101,0.41025641025641,11,"CricketZ","pyridge","cv"
"FFT coef. (Mag^2 + Angle)",200,0.451282051282051,11,"CricketZ","pyridge","cv"
"catch22",22,0.5,12,"CricketZ","pyridge","cv"
"feasts",39,0.528205128205128,12,"CricketZ","pyridge","cv"
"tsfeatures",59,0.576923076923077,12,"CricketZ","pyridge","cv"
"TSFEL",143,0.641025641025641,12,"CricketZ","pyridge","cv"
"Kats",35,0.520512820512821,12,"CricketZ","pyridge","cv"
"tsfresh",734,0.697435897435897,12,"CricketZ","pyridge","cv"
"FFT (Mag^2 + Angle) + quantiles",301,0.546153846153846,12,"CricketZ","pyridge","cv"
"Quantiles",101,0.443589743589744,12,"CricketZ","pyridge","cv"
"FFT coef. (Mag^2 + Angle)",200,0.430769230769231,12,"CricketZ","pyridge","cv"
"catch22",22,0.528205128205128,13,"CricketZ","pyridge","cv"
"feasts",39,0.538461538461538,13,"CricketZ","pyridge","cv"
"tsfeatures",59,0.605128205128205,13,"CricketZ","pyridge","cv"
