"feature_set","num_features","accuracy","resample","problem","classifier","penalty"
"tsfresh",738,0.551724137931034,8,"WordSynonyms","pyridge","fixed"
"FFT (Mag^2 + Angle) + quantiles",301,0.376175548589342,8,"WordSynonyms","pyridge","fixed"
"Quantiles",101,0.294670846394984,8,"WordSynonyms","pyridge","fixed"
"FFT coef. (Mag^2 + Angle)",200,0.310344827586207,8,"WordSynonyms","pyridge","fixed"
"catch22",22,0.442006269592476,9,"WordSynonyms","pyridge","fixed"
"feasts",37,0.460815047021944,9,"WordSynonyms","pyridge","fixed"
"tsfeatures",59,0.487460815047022,9,"WordSynonyms","pyridge","fixed"
"TSFEL",144,0.512539184952978,9,"WordSynonyms","pyridge","fixed"
"Kats",34,0.421630094043887,9,"WordSynonyms","pyridge","fixed"
"tsfresh",738,0.579937304075235,9,"WordSynonyms","pyridge","fixed"
"FFT (Mag^2 + Angle) + quantiles",301,0.390282131661442,9,"WordSynonyms","pyridge","fixed"
"Quantiles",101,0.286833855799373,9,"WordSynonyms","pyridge","fixed"
"FFT coef. (Mag^2 + Angle)",200,0.316614420062696,9,"WordSynonyms","pyridge","fixed"
"catch22",22,0.43730407523511,10,"WordSynonyms","pyridge","fixed"
"feasts",37,0.452978056426332,10,"WordSynonyms","pyridge","fixed"
"tsfeatures",59,0.498432601880878,10,"WordSynonyms","pyridge","fixed"
"TSFEL",144,0.493730407523511,10,"WordSynonyms","pyridge","fixed"
"Kats",34,0.415360501567398,10,"WordSynonyms","pyridge","fixed"
"tsfresh",737,0.572100313479624,10,"WordSynonyms","pyridge","fixed"
"FFT (Mag^2 + Angle) + quantiles",301,0.349529780564263,10,"WordSynonyms","pyridge","fixed"
"Quantiles",101,0.266457680250784,10,"WordSynonyms","pyridge","fixed"
"FFT coef. (Mag^2 + Angle)",200,0.311912225705329,10,"WordSynonyms","pyridge","fixed"
"catch22",22,0.449843260188088,11,"WordSynonyms","pyridge","fixed"
"feasts",37,0.503134796238245,11,"WordSynonyms","pyridge","fixed"
"tsfeatures",59,0.503134796238245,11,"WordSynonyms","pyridge","fixed"
"TSFEL",144,0.517241379310345,11,"WordSynonyms","pyridge","fixed"
"Kats",34,0.432601880877743,11,"WordSynonyms","pyridge","fixed"
"tsfresh",736,0.59717868338558,11,"WordSynonyms","pyridge","fixed"
"FFT (Mag^2 + Angle) + quantiles",301,0.371473354231975,11,"WordSynonyms","pyridge","fixed"
"Quantiles",101,0.283699059561129,11,"WordSynonyms","pyridge","fixed"
"FFT coef. (Mag^2 + Angle)",200,0.307210031347962,11,"WordSynonyms","pyridge","fixed"
"catch22",22,0.41692789968652,12,"WordSynonyms","pyridge","fixed"
"feasts",37,0.481191222570533,12,"WordSynonyms","pyridge","fixed"
"tsfeatures",59,0.493730407523511,12,"WordSynonyms","pyridge","fixed"
"TSFEL",144,0.482758620689655,12,"WordSynonyms","pyridge","fixed"
"Kats",34,0.409090909090909,12,"WordSynonyms","pyridge","fixed"
"tsfresh",735,0.554858934169279,12,"WordSynonyms","pyridge","fixed"
"FFT (Mag^2 + Angle) + quantiles",301,0.407523510971787,12,"WordSynonyms","pyridge","fixed"
"Quantiles",101,0.282131661442006,12,"WordSynonyms","pyridge","fixed"
"FFT coef. (Mag^2 + Angle)",200,0.346394984326019,12,"WordSynonyms","pyridge","fixed"
"catch22",22,0.426332288401254,13,"WordSynonyms","pyridge","fixed"
"feasts",37,0.481191222570533,13,"WordSynonyms","pyridge","fixed"
"tsfeatures",59,0.496865203761755,13,"WordSynonyms","pyridge","fixed"
"TSFEL",144,0.528213166144201,13,"WordSynonyms","pyridge","fixed"
"Kats",34,0.423197492163009,13,"WordSynonyms","pyridge","fixed"
"tsfresh",738,0.557993730407524,13,"WordSynonyms","pyridge","fixed"
"FFT (Mag^2 + Angle) + quantiles",301,0.398119122257053,13,"WordSynonyms","pyridge","fixed"
"Quantiles",101,0.29153605015674,13,"WordSynonyms","pyridge","fixed"
"FFT coef. (Mag^2 + Angle)",200,0.332288401253919,13,"WordSynonyms","pyridge","fixed"
"catch22",22,0.427899686520376,14,"WordSynonyms","pyridge","fixed"
"feasts",37,0.463949843260188,14,"WordSynonyms","pyridge","fixed"
"tsfeatures",59,0.498432601880878,14,"WordSynonyms","pyridge","fixed"
"TSFEL",144,0.5,14,"WordSynonyms","pyridge","fixed"
"Kats",34,0.423197492163009,14,"WordSynonyms","pyridge","fixed"
"tsfresh",737,0.567398119122257,14,"WordSynonyms","pyridge","fixed"
"FFT (Mag^2 + Angle) + quantiles",301,0.38871473354232,14,"WordSynonyms","pyridge","fixed"
"Quantiles",101,0.280564263322884,14,"WordSynonyms","pyridge","fixed"
"FFT coef. (Mag^2 + Angle)",200,0.31974921630094,14,"WordSynonyms","pyridge","fixed"
"catch22",22,0.440438871473354,15,"WordSynonyms","pyridge","fixed"
"feasts",37,0.490595611285266,15,"WordSynonyms","pyridge","fixed"
"tsfeatures",59,0.503134796238245,15,"WordSynonyms","pyridge","fixed"
"TSFEL",144,0.515673981191223,15,"WordSynonyms","pyridge","fixed"
"Kats",34,0.41692789968652,15,"WordSynonyms","pyridge","fixed"
"tsfresh",737,0.589341692789969,15,"WordSynonyms","pyridge","fixed"
