"feature_set","num_features","accuracy","resample","problem","classifier","penalty"
"catch22",22,0.56353591160221,8,"EOGHorizontalSignal","pyridge","cv"
"feasts",37,0.685082872928177,8,"EOGHorizontalSignal","pyridge","cv"
"tsfeatures",59,0.613259668508287,8,"EOGHorizontalSignal","pyridge","cv"
"TSFEL",144,0.638121546961326,8,"EOGHorizontalSignal","pyridge","cv"
"Kats",36,0.613259668508287,8,"EOGHorizontalSignal","pyridge","cv"
"tsfresh",746,0.660220994475138,8,"EOGHorizontalSignal","pyridge","cv"
"FFT (Mag^2 + Angle) + quantiles",301,0.566298342541437,8,"EOGHorizontalSignal","pyridge","cv"
"Quantiles",101,0.552486187845304,8,"EOGHorizontalSignal","pyridge","cv"
"FFT coef. (Mag^2 + Angle)",200,0.502762430939227,8,"EOGHorizontalSignal","pyridge","cv"
"catch22",22,0.593922651933702,9,"EOGHorizontalSignal","pyridge","cv"
"feasts",37,0.674033149171271,9,"EOGHorizontalSignal","pyridge","cv"
"tsfeatures",59,0.679558011049724,9,"EOGHorizontalSignal","pyridge","cv"
"TSFEL",144,0.654696132596685,9,"EOGHorizontalSignal","pyridge","cv"
"Kats",36,0.610497237569061,9,"EOGHorizontalSignal","pyridge","cv"
"tsfresh",746,0.651933701657459,9,"EOGHorizontalSignal","pyridge","cv"
"FFT (Mag^2 + Angle) + quantiles",301,0.558011049723757,9,"EOGHorizontalSignal","pyridge","cv"
"Quantiles",101,0.50828729281768,9,"EOGHorizontalSignal","pyridge","cv"
"FFT coef. (Mag^2 + Angle)",200,0.469613259668508,9,"EOGHorizontalSignal","pyridge","cv"
"catch22",22,0.613259668508287,10,"EOGHorizontalSignal","pyridge","cv"
"feasts",37,0.668508287292818,10,"EOGHorizontalSignal","pyridge","cv"
"tsfeatures",59,0.668508287292818,10,"EOGHorizontalSignal","pyridge","cv"
"TSFEL",144,0.657458563535912,10,"EOGHorizontalSignal","pyridge","cv"
"Kats",36,0.632596685082873,10,"EOGHorizontalSignal","pyridge","cv"
"tsfresh",746,0.640883977900553,10,"EOGHorizontalSignal","pyridge","cv"
"FFT (Mag^2 + Angle) + quantiles",301,0.591160220994475,10,"EOGHorizontalSignal","pyridge","cv"
"Quantiles",101,0.486187845303867,10,"EOGHorizontalSignal","pyridge","cv"
"FFT coef. (Mag^2 + Angle)",200,0.494475138121547,10,"EOGHorizontalSignal","pyridge","cv"
"catch22",22,0.582872928176796,11,"EOGHorizontalSignal","pyridge","cv"
"feasts",37,0.671270718232044,11,"EOGHorizontalSignal","pyridge","cv"
"tsfeatures",59,0.657458563535912,11,"EOGHorizontalSignal","pyridge","cv"
"TSFEL",144,0.665745856353591,11,"EOGHorizontalSignal","pyridge","cv"
"Kats",36,0.588397790055249,11,"EOGHorizontalSignal","pyridge","cv"
"tsfresh",746,0.651933701657459,11,"EOGHorizontalSignal","pyridge","cv"
"FFT (Mag^2 + Angle) + quantiles",301,0.560773480662983,11,"EOGHorizontalSignal","pyridge","cv"
"Quantiles",101,0.502762430939227,11,"EOGHorizontalSignal","pyridge","cv"
"FFT coef. (Mag^2 + Angle)",200,0.466850828729282,11,"EOGHorizontalSignal","pyridge","cv"
"catch22",22,0.56353591160221,12,"EOGHorizontalSignal","pyridge","cv"
"feasts",37,0.629834254143646,12,"EOGHorizontalSignal","pyridge","cv"
"tsfeatures",59,0.610497237569061,12,"EOGHorizontalSignal","pyridge","cv"
"TSFEL",144,0.610497237569061,12,"EOGHorizontalSignal","pyridge","cv"
"Kats",36,0.56353591160221,12,"EOGHorizontalSignal","pyridge","cv"
"tsfresh",745,0.616022099447514,12,"EOGHorizontalSignal","pyridge","cv"
"FFT (Mag^2 + Angle) + quantiles",301,0.513812154696133,12,"EOGHorizontalSignal","pyridge","cv"
"Quantiles",101,0.461325966850829,12,"EOGHorizontalSignal","pyridge","cv"
"FFT coef. (Mag^2 + Angle)",200,0.425414364640884,12,"EOGHorizontalSignal","pyridge","cv"
"catch22",22,0.599447513812155,13,"EOGHorizontalSignal","pyridge","cv"
"feasts",37,0.660220994475138,13,"EOGHorizontalSignal","pyridge","cv"
"tsfeatures",59,0.679558011049724,13,"EOGHorizontalSignal","pyridge","cv"
